	inst	cnt	len
149	裕虹投資有限公司	8	8
150	格利遜亞洲股份有限公司	8	11
151	貝里斯商茂杰股份有限公司	8	12
152	Cheetah Technology Corporation Limited 香港商獵豹科技有限公司	8	50
153	英屬維京群島商 Perfect Progress Investments Limited	8	44
154	美商康泰納仕亞太股份有限公司	8	14
155	日商株式會社島津製作所	8	11
156	日商 SUN FLUORO SYSTEM 株式會社	8	25
157	比利時商巴可股份有限公司	8	12
158	斗南鎮公所	8	5
159	日商卡普空股份有限公司	8	11
160	FRUITFUL SUMMER INTERNATIONAL LIMITED	8	37
161	FRAGRANTDALE LIMITED	8	20
162	KYB株式會社	8	7
163	英屬維京群島商中子創新股份有限公司 Neutron Innovation (BVI) Limited	8	50
164	英屬蓋曼群島商頂益(開曼島)控股公司	8	18
165	財團法人台北市中華基督教青年會	8	15
166	荷蘭商松下控股公司 (PANASONIC HOLDING (NETHERLANDS) B.V.)	8	48
167	馬來西亞商前研股份有限公司	8	13
168	英屬維京群島商映藝控股有限公司	8	15
169	荷蘭商 Evonik International Holding B.V.	8	37
170	Prologium Holding Inc.	8	22
171	香港商新聲投資有限公司	8	11
172	日商全家便利商店股份有限公司	8	14
173	中外製薬株式会社	8	8
174	香港商億利高有限公司	8	10
175	日商　　　　　　　株式會社	8	13
176	荷蘭商 AEGON DMS Holding B.V.	8	26
177	香港商德潤醫療生物科技股份有限公司	8	17
178	英屬維京群島商勝成有限公司	8	13
179	英屬開曼群島商 800 Technology Investment Limited	8	41
180	英屬開曼群島商天大影業娛樂股份有限公司	8	19
181	英屬維京群島商七彩虹集團有限公司COLORFUL GROUP LIMITED	8	38
182	英屬曼島商 PCG Entertainment Plc.	8	28
183	中華民國全國漁會	8	8
184	日商六菱橡膠株式會社	8	10
185	新竹市政府	8	5
186	英屬開曼群島商 Suntech Holding Company	8	31
187	財團法人工業技術研究院	8	11
188	日商株式會社日立製作所	8	11
189	英屬維京群島商台灣便利商店國際股份有限公司	8	21
190	新加坡商 AGC SINGAPORE SERVICES PTE. LTD.	8	37
191	財團法人台灣機電工程服務社	8	13
192	新加坡商迅聯網(新加坡)私人股份有限公司	8	20
193	澳大利亞商澳盛銀行集團股份有限公司(AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED)	8	66
194	貝里斯商僑恩斯國際股份有限公司	8	15
195	新加坡商Popular Holdings Limited	8	28
196	英屬維京群島商泰晤投資有限公司	8	15
197	英商保誠控股有限公司	8	10
198	香港商俊慕有限公司	8	9
199	日商三井物產株式會社	8	10
200	株式会社ハッピージャパン	8	12
201	荷蘭商 FS Invest 2 B.V.	7	20
202	日本信越半導體株式會社	7	11
203	大陸商福建省投資開發集團有限責任公司	7	18
204	日商能美防災株式會社	7	10
205	新加坡商 LT MATERIAL HANDLING HOLDING PTE. LTD.	7	43
206	馬來西亞商Goodwill Fountain SDN.BHD.	7	31
207	EASTERN ORIENTAL INVESTMENTS LIMITED	7	36
208	日商伊藤忠商事株式會社	7	11
209	日商日本食研 HOLDINGS 株式會社	7	20
210	日商學校法人早稻田大學	7	11
211	英屬海峽群島商天達資產管理公司 Investec Asset Management Guernsey Limited	7	58
212	日商株式會社不二越	7	9
213	日商日本郵船株式會社	7	10
214	英屬維京群島商日暉國際股份有限公司	7	17
215	DIC株式會社	7	7
216	日商住友商事株式會社	7	10
217	日商 Gigaphoton Inc.	7	18
218	薩摩亞商 Arcadia Media Inc.	7	23
219	英屬開曼群島商CELESTIAL TALENT LIMITED	7	31
220	荷蘭商 Sunrider East Asia Holdings B.V.	7	36
221	日商株式會社安川電機	7	10
222	西螺鎮公所	7	5
223	美商貝泰公司	7	6
224	馬來西亞商 Perfect Star Co., Ltd	7	27
225	日商丸善藥品產業株式會社	7	12
226	金融監督管理委員會	7	9
227	美商美國運通國際股份有限公司	7	14
228	日商日華化學株式會社	7	10
229	財團法人新光吳火獅文教基金會	7	14
230	株式會社ジャパンディスプレイ(Japan Display Inc.)	7	34
231	日商株式會社歌詩	7	8
232	新加坡商 VANTONE CAPITAL PTE. LTD.	7	30
233	日商惠和株式會社	7	8
234	英屬開曼群島商StorArt Global Limited	7	29
235	東亞合成株式會社	7	8
236	日商岡本硝子株式會社	7	10
237	日本商株式會社大創產業	7	11
238	株式會社クボタ	7	7
239	日商 TOWA 株式會社	7	12
240	SEA PARTY INTERNATIONAL CO., LTD	7	32
241	英屬維京群島商金柏克有限公司	7	14
242	英屬維京群島商龐達投資股份有限公司	7	17
243	Pyrotek Incorporated	7	20
244	新加坡商新曄科技有限公司	7	12
245	日商株式會社大夢	7	8
246	日商 PANASONIC CORPORATION	7	24
247	SUMMITBEST INVESTMENT LIMITED	7	29
248	荷商Sandvik Finance B.V.	7	22
249	新加坡商豐隆國際大飯店(新加坡)有限公司	7	20
250	法商法國巴黎保險控股公司	7	12
251	英屬蓋曼群島商WEBS-TV INC.	7	19
252	英屬維京群島商Progress, Inc.	7	21
253	英屬蓋曼群島商首席電子商務股份有限公司	7	19
254	日商JX金屬株式會社	7	10
255	英屬蓋曼群島商利統(開曼)股份有限公司	7	19
256	加拿大商FLH控股公司	7	11
257	英屬維京群島商世界快訊公司	7	13
258	薩摩亞商弗斯特投資有限公司	7	13
259	日本佳能株式會社	7	8
260	英屬開曼群島商立凱電能科技股份有限公司 Advanced Lithium Electrochemistry (Cayman Co., Ltd.)	7	72
261	英屬維京群島商 AJ Incorporation Limited	7	32
262	荷蘭商 FS Invest B.V.	7	18
263	斗六市公所：謝淑亞、王朝正、彭士人、吳春瑢、曾建慧、陳良年、鍾景修	7	33
264	日商日東紡績株式會社	7	10
265	英商 Schroder International Holdings Limited	7	42
266	日本株式會社京三製作所	7	11
267	荷蘭商 ATOS INTERNATIONAL B.V	7	26
268	荷蘭商 SBME Holdings B.V.	7	22
269	日本國          TDK -EPC 株式會社	7	26
270	(日商)株式會社	7	8
271	日商花王株式會社	7	8
272	英屬維京群島商潔馥企業股份有限公司	7	17
273	荷蘭商 Cisco Systems Netherlands Holdings B.V.	7	43
274	英商 V FLORA (UK) LIMITED	7	23
275	日商東京威力科創株式會社	7	12
276	（日商）車樂美縫衣機工業株式會社	7	16
277	揚州市揚子江投資發展集團有限責任公司	7	18
278	美商花旗海外投資公司	7	10
279	英屬維京群島商意美國際有限公司	7	15
280	TaiGen Biopharmaceuticals Holdings Limited	7	42
281	日商ＵＬＶＡＣ成膜株式會社	7	13
282	荷蘭商東京電力國際公司	7	11
283	美商科聚亞公司(Chemtura Corporation)	7	29
284	財團法人中華民國佛教慈濟慈善事業基金會	7	19
285	日商東光株式會社	7	8
286	日商關西■イント株式會社	7	12
287	Coty Prestige Southeast Asia Pte. Ltd.	7	38
288	比利時商 Imec International, Stichting van Openbaar Nut	6	51
289	英屬維京群島商 ACHIEVE MADE INTERNATIONAL LIMITED	6	42
290	日商野村微科學株式會社	6	11
291	日商株式會社富士通將軍	6	11
292	日商普樂士股份有限公司	6	11
293	英屬蓋曼群島商 NEXT SYSTEM LIMITED	6	27
294	韓商樂金化學股份有限公司	6	12
295	英屬維京群島商歐利速公司	6	12
296	日商株式會社日立國際電氣	6	12
297	塞席爾商 Omniscient International Co. Ltd.	6	38
