	inst	cnt	len
2147	台中市基督教青年會	4	9
2148	日商樂天 Card 株式會社	4	14
2149	ACTIVE GAIN HOLDINGS LIMITED	4	28
2150	日商 ASATSU-DK INC. (株式會社　　　　‧　)	4	30
2151	日商羅拉婀雪萊株式會社	4	11
2152	LICHEN  FINANCE  LIMITED	4	24
2153	瑞士商偉拓控股股份有限公司(VAT Holding AG)	4	29
2154	日商FE  TRADE  株式會社(FE  TRAED  CO.,  LTD.)	4	40
2155	新加坡商奐鑫控股有限公司	4	12
2156	日商Y.S. FOOD CO., LTD.	4	21
2157	英屬維京群島商瀚智領域有限公司	4	15
2158	模里西斯商信瑞投資股份有限公司(KING STONE INTERNATIONAL LIMITED)	4	49
2159	瑞柏科技控股有限公司	4	10
2160	荷蘭商 TECTURA (NETHERLANDS) B. V.	4	31
2161	新加坡商 Nomura Research Institute Asia Pacific Private Limited	4	59
2162	馬來西亞商廣志有限公司	4	11
2163	英屬蓋曼群島商SST國際有限公司	4	16
2164	馬來西亞商 TPK Asia Pacific Sdn. Bhd.	4	32
2165	日商Sun · Core HLDS. Co., Ltd	4	27
2166	美商 Motorola Solutions, Inc.	4	27
2167	香港商東海精工(香港)有限公司	4	15
2168	德商 Fresenius Kabi Deutschland GmbH	4	34
2169	英屬開曼群島商 Aprevent Medical Inc.	4	29
2170	Froniter International Holdinga Limited	4	39
2171	薩摩亞商ADEPT AWARENESS INVESTMENTS LIMITED.	4	40
2172	德商 Logwin Air+Ocean International GmbH	4	38
2173	日商NIDEC-SHIMPO CORPORATION（日本電產シンポ株式会社）	4	39
2174	荷蘭商凱絡有限公司 [Group Carat(Nederland)B.V.]	4	38
2175	英屬維京群島商 KKTOWN International Limited	4	36
2176	日商株式會社フジキン(FUJIKIN INCORPORATED)	4	32
2177	日商 DYNACOMWARE CORPORATION	4	26
2178	英屬維京群島商糖朝(台灣)有限公司	4	17
2179	荷商七和工具控股公司	4	10
2180	新加坡商萬宙商信亞太控股股份有限公司	4	18
2181	英屬維京群島商 RUBYTOP  LIMITED	4	24
2182	臺南市農會	4	5
2183	日商株式會社山卜小笠原商店	4	13
2184	日商新明和工業株式會社	4	11
2185	日商 SIIX Corporation	4	19
2186	MVP (H.K) INDUSTRIES LIMITED	4	28
2187	OneWorks IP Holdings Limited	4	28
2188	荷蘭商 Uber International Holding B.V.	4	35
2189	香港商極光服飾國際有限公司	4	13
2190	美商伊利諾工具公司(Illonois Tool Works Inc.)	4	35
2191	Meyer Burger Technology AG	4	26
2192	英屬開曼群島商 PILOTTV HOLDINGS LIMITED	4	32
2193	百慕達商東方海外(代理)有限公司	4	16
2194	英屬維京群島商 D.J. AMC INC	4	20
2195	英商太古輪船有限公司	4	10
2196	薩摩亞商 K-NEXUS CO., LTD.	4	22
2197	薩摩亞商GREEN GIANT TECHNOLOGY CORPORATION	4	38
2198	荷蘭商國際出版投資公司 (International Publications Holding (IPH) B.V.)	4	59
2199	Qualcomm Global Trading Inc.	4	28
2200	United Union Corp.	4	18
2201	美商 FarStone Technology Inc.	4	27
2202	英屬維爾京群島商艾霍寧股份有限公司	4	17
2203	日商OGIC CO.,LTD.	4	15
2204	日商 FoneN Co., Ltd.	4	18
2205	荷蘭商Hoya Holdings (Asia) B.V.	4	28
2206	日商大豊化学株式会社	4	10
2207	SCHMOLZ + BICKENBACH International GmbH	4	39
2208	日商株式会社　相建技術(株式会社　相建　　　　　)	4	25
2209	日商リバ一ェレテック利巴電技株式會社	4	18
2210	日商奧璐佳瑙株式會社	4	10
2211	日商大陽工業株式會社	4	10
2212	香港商 Illies East Asia Limited	4	28
2213	新加坡商 Awfully Chocolate Franchise Management Pte Ltd.	4	52
2214	塞席爾商菲尼克斯環球有限公司	4	14
2215	LOGITEM INTERNATIONAL CORP.	4	27
2216	澳大利亞商比富比控股股份有限公司	4	16
2217	荷蘭商 NXP  B. V.	4	14
2218	盧森堡商KSIN盧森堡Ⅱ有限公司	4	16
2219	蕯摩亞商 HOLY GRAIL INTERNATIONAL GROUP LIMITED	4	43
2220	新加坡商 INTERTOUCH PTE. LTD.	4	25
2221	法商 VEOLIA  WATER  SOLUTIONS	4	27
2222	香港商 China Systems Holdings Limited	4	34
2223	健康(中國)控股集團有限公司Wellness (China) Holding Group Limited	4	52
2224	英商亞太精選服務有限公司	4	12
2225	中小企業發展基金管理委員會	4	13
2226	日商 TECHTUIT CO., LTD.	4	21
2227	日商旭化成株式會社	4	9
2228	Nuliv Holding Inc.	4	18
2229	英屬開曼群島商 ICHEF CO., LTD.	4	23
2230	薩摩亞商格雷蒙集團控股份有限公司(GREDMANN  GROUP HOLDINGS  LIMITED)	4	51
2231	英屬維京群島商 CAI ASIA LTD.	4	21
2232	新加坡商ANT BRIDGE CAP. PTE. LTD.	4	29
2233	英屬開曼群島商 Fiiser Inc.	4	19
2234	KOJIMA CORPORATION	4	18
2235	美商美世 LLC 公司(Mercer LLC)	4	23
2236	英屬維京群島商 GENIUS CHOICE HOLDINGS LIMITED	4	38
2237	香港商英之傑航運(香港)有限公司	4	16
2238	日商 HAGIWARA SYS-COM CO,. LTD.	4	29
2239	荷蘭商輝凌股份有限公司	4	11
2240	蕯摩亞商 UNIC PACIFIC CAPITAL CORP.,LTD	4	35
2241	薩摩亞商冠佳投資股份有限公司(KUAN CHIA INVESTMENTS CO., LTD.)	4	47
2242	塞席爾商ALL SUN LTD. 全日有限公司	4	23
2243	英屬維京群島商 Feronia Venture Capital Ltd.	4	36
2244	英屬開曼群島商Centerillion Taiwan Corporation	4	38
2245	株式會社■■■■■ク■■	4	12
2246	全球工業集團Global Industries Holdings Ltd	4	36
2247	日商TAKIGEN  MFG. CO .,LTD	4	24
2248	日商三洋化成工業株式會社	4	12
2249	澳大利亞商耐美力海外控股公司	4	14
2250	英屬維京群島商歐得國際有限公司 Olmstead International Limited	4	46
2251	荷蘭商SUMMIT GLOBAL MANAGEMENT IIB.V.	4	34
2252	日商JSR株式會社	4	9
2253	英屬安圭拉島商晶采動能有限公司	4	15
2254	日商住友不動產株式會社	4	11
2255	英屬維京群島商Great Prospects Holdings Limited	4	39
2256	美商 Dentsply International Inc.	4	30
2257	荷蘭商 Global Blue Holland B.V.	4	28
2258	香港商天祥公證行太平洋有限公司(Intertek Testing Services Pacific Ltd.)	4	55
2259	日商桂川電機株式會社	4	10
2260	日商佳能股份有限公司	4	10
2261	日商 HIGASHIMARU INTERNATIONAL CORPORATION	4	40
2262	英屬開曼群島商 IPGreat Incorporated	4	28
2263	薩摩亞商國際遠景股份有限公司	4	14
2264	盧森堡商地中海會公司	4	10
2265	英屬維京群島商艾瑪士投資有限公司	4	16
2266	美商 Google International LLC	4	27
2267	日商日研食品株式會社	4	10
2268	法商蒂汎蕾有限公司 Devanlay SA	4	21
2269	英屬維京群島商ALLIANCE MANAGEMENT CONSULTING CO., LTD.	4	47
2270	荷蘭商寶格麗國際有限公司	4	12
2271	日商株式會社　　　　　　(日商 FOODEX CORPORATION)	4	35
2272	英屬開曼群島商 OKHERO  LIMITED	4	23
2273	GNXT INVESTMENT HOLDINGS PTE.LTD.	4	33
2274	香港商 ASIA UNITED-AVIVA HOLDINGS LIMITED	4	38
2275	日商株式会社　　　　(Marutaka Co., Ltd)	4	29
2276	Altek Semiconductor (Cayman) Co., Ltd.	4	38
2277	日商株式會社大廣	4	8
2278	香港商Winking Inspiration Holdings Limited	4	39
2279	香港商 eBizServe Technology Limited	4	32
2280	日本商HIGASHIYAMA FILM CO.,LTD.	4	28
2281	日商 IHI 運搬機械株式會社	4	15
2282	日商昭和電工股份有限公司	4	12
2283	日商康肯科技株式會社	4	10
2284	英屬蓋曼群島商 eSOON Group Holdings Corp.	4	34
2285	新加坡商TRUMPF Pte Ltd.	4	19
2286	英屬維京群島商 Billion Collection Corp.	4	32
2287	新加坡商華達利控股份有限公司	4	14
2288	薩摩亞商 GRANDINVEST 控股有限公司	4	23
2289	荷蘭商道康寧韓國控股公司	4	12
2290	美商亞威股份有限公司	4	10
2291	香港商騎樂菲國際有限公司	4	12
2292	(香港商)美林工業集團有限公司	4	15
2293	日商株式會社芝浦製作所	4	11
2294	日商建和商事株式會社	4	10
2295	美商傑士莫股份有限公司	4	11
2296	日商兄弟國際株式會社	4	10
2297	日商東洋機械金屬株式會社	4	12
2298	瑞士商 Adecco Invest S.A.	4	22
2299	英屬維京群島商 CLEVERWAY PROFITS LIMITED	4	33
2300	薩摩亞商 PRIMO OPTO GROUP LIMITED	4	29
2301	香港商中南創發實業香港有限公司	4	15
2302	香港商斯達康有限公司  (Utstarcom Hong Kong Limited)	4	41
2303	新加坡商友發國際股份有限公司	4	14
2304	日商J.E.T.CO.,LTD.	4	16
2305	薩摩亞商 TTFB World Co., Ltd.	4	25
2306	日本バルヵー工業株式会社	4	12
2307	日商 TOOL 株式會社(TOOL CORPORATION)	4	30
2308	財團法人宗倬章先生教育基金會	4	14
2309	英屬開蓋曼群島商 SINOLINKS INVESTMENT CORPORATION	4	41
2310	美商 APM Foreign Holdings LLC	4	27
2311	英屬維京群島商星展國際有限公司Star Growth International limited	4	48
2312	英屬維京群島商 WORLD FAMILY ENGLISH HOLDINGS LTD.	4	42
2313	英屬維京群島商IMAR MUSIC ENTERTAINMENT CO., LTD	4	40
2314	高雄市高雄地區農會	4	9
2315	Reno Sub-Systems Canada Inc.	4	28
2316	荷蘭商Solenis Netherlands B.V.	4	27
2317	德商戴姆勒股份有限公司	4	11
2318	美商IMPCT CORPORATION	4	19
2319	薩摩亞商PIONEER LEADER INVESTMENTS LIMITED.	4	39
2320	日商日本康大可株式會社	4	11
2321	日商北斗機械株式會社(日商 HOKUTO MACHINERY CO., LTD.)	4	41
2322	法商富爾吉股份有限公司 (S.P.C.M.S.A)	4	25
2323	香港商富斐國際有限公司 FULLFAITH INTERNATIONAL HOLDING LIMITED	4	51
2324	日商 AUN CONSULTING, INC	4	22
2325	韓商樂金伊諾特股份有限公司	4	13
2326	美商 TRIGON COMPONENTS INC.	4	25
2327	日商SOCK KOBE CO., LTD.	4	21
2328	日商菱三株式會社	4	8
2329	英屬維京群島商SUCCESS CONCEPT INTERNATIONAL CORP.	4	42
2330	美商 Boston-Power, Inc	4	20
2331	日商KANTO  HOLDINGS  CO.,  LTD.	4	29
2332	英屬維京群島商 Ant Value Capital Investment Limited	4	44
2333	英屬蓋曼群島商 Ambarella,Inc.	4	22
2334	日商株式會社 　　　　　(Aderans Co., Ltd.)	4	31
2335	荷蘭商 GDA B.V. 有限公司	4	17
2336	日商 VS Technology corporation	4	28
2337	IRON MOUNTAIN SOUTHEAST ASIA HOLDINGS LIMITED	4	45
2338	英屬蓋曼群島商芯原控股股份有限公司	4	17
2339	英屬蓋曼群島商 PCL TECHNOLOGIES, INC.	4	30
2340	新加坡商 DyStar Global Holdings (Singapore) Pte.Ltd	4	47
2341	日商株式會社娜普菈 (NAPLA CO., LTD.)	4	27
2342	新加坡商碧雅科技私人有限公司	4	14
2343	法商路易斯威頓公司	4	9
2344	香港商 SITA Waste Services Limited	4	31
2345	荷蘭商 Cooperatieve Meadowstream Investment W.A.	4	45
2346	韓商PSK Inc.	4	10
2347	日商優妮嬌盟股份有限公司	4	12
2348	瑞士商科萊恩國際股份有限公司	4	14
2349	鴻程科技有限公司	4	8
2350	新加坡商 GIANT INTERNATIONAL HOLDINGS PTE. LTD.	4	43
2351	SurplusGLOBAL, Inc.	4	19
2352	英屬維京群島商聯合國際亞太公司	4	15
2353	M/A-COM Technology Solutions〈UK〉Limited	4	39
2354	香港商逸聰有限公司(WISECOM LIMITED)	4	26
2355	日商COSPA CREATION Inc.	4	21
2356	日商 JIN  CO.,  LTD	4	17
2357	香港商唯晶天行者有限公司	4	12
2358	荷蘭商 DSM 公司	4	10
2359	香港商聯茂投資貿易有限公司	4	13
2360	日商 YAMABIKO CORPORATION	4	23
2361	英屬安奎拉商 Sky media investments Co., Ltd.	4	38
2362	財團法人基督教愛網全人關懷社會福利慈善事業基金會	4	24
2363	日商日本電氣硝子株式會社	4	12
2364	新加坡商利樂包亞洲公司	4	11
2365	盧森堡商 JAS Worldwide, S.■.r.l.	4	28
2366	日商大和化成株式會社	4	10
2367	Kopin Wireless LLC	4	18
2368	美商 Allergan Holdings, Inc.	4	26
2369	薩摩亞商NetLink Communication Inc.	4	30
2370	薩摩亞商偉佳國際股份有限公司	4	14
2371	英屬維京群島商KDH DESIGN CO., LTD.	4	27
2372	英屬蓋曼群島商 GREEN BREEZE PLANT CORPORATION	4	38
2373	薩摩亞商 MGI EXCELLENCE & CO., LTD.	4	31
2374	馬來西亞商國際環球通訊控股公司 (Reach Labuan Holdings Ltd.)	4	44
2375	德商地威公司	4	6
2376	PruWell Investment Limited	4	26
2377	TS Kelly Workforce Soultions Limited	4	36
2378	荷蘭商先藝科技有限公司	4	11
2379	模里西斯商 GE MAURITIUS INFRASTRUCTURE HOLDINGS LTD	4	46
2380	新加坡商 ERECT GROUP (SINGAPORE) PTE. LTD.	4	38
2381	ARTHUR JUDY HOLDINGS LIMITED	4	28
2382	薩摩亞商 ASTROGENIE INC.	4	20
2383	薩摩亞商 Sudo Holdings Limited	4	26
2384	薩摩亞商翰利資本有限公司 (HAND SHARP CAPITAL INCORPORATED)	4	46
2385	薩摩亞商 ALL STRONG LIMITED	4	23
2386	英屬開曼群島商樺鼎精密機械(開曼)股份有限公司	4	23
2387	薩摩亞商Health Cloud Information Technology Limited	4	47
2388	日商株式會社 LIXIL	4	12
2389	荷蘭商Zoetis Netherlands Holdings B.V.	4	35
2390	瑞典商何格納斯股份有限公司	4	13
2391	日商DIGITAL FRONTIER INC.	4	23
2392	美商彼得國際有限公司	4	10
2393	日商 PRIMO JAPAN INC.	4	19
2394	英屬維京群島商  EUROCHARM INNOVATION CO.,LTD.	4	38
2395	日商橫河電機株式會社	4	10
2396	香港商孚創雲端股份有限公司(INQUARTIK  CO.  LIMITED)	4	38
2397	日商西北貿易株式會社	4	10
2398	美商 BJK&E 公司 (BJK&E, Inc.)	4	25
2399	英屬蓋曼群島商科嘉(開曼)股份有限公司 Ko Ja (Cayman) Co., Ltd.	4	44
2400	英屬維京島商卓嶽控股份有限公司Xcellent Holding Company Limited	4	47
2401	荷蘭商Pure Fishing Netherlands B.V.	4	32
2402	香港商 PUBLICITAS ASIA HOLDINGS LIMITED	4	36
2403	英屬維京群島商 ACHIEVE TIME INVESTMENTS LIMITED	4	40
2404	日商 FUJIMAK CORPORATION	4	22
2405	日商株式会社　　　　(Lecrin)	4	18
2406	荷蘭商 Stanley European Holdings II B.V.	4	37
2407	日商三協株式會社	4	8
2408	英屬維京群島(New Garment Investment Limited)	4	38
2409	香港商鼎泰有限公司 Gold Progress Limited	4	31
2410	日商半田重工業株式會社	4	11
2411	美商 AHI POST PRODUCTION INC.	4	27
2412	日商 K.K.NAKAGAMI CORPOATION	4	26
2413	英屬維京群島商鼎新股份有限公司	4	15
2414	DAYBREAK GLOBAL GROUP CORP.	4	27
2415	英屬維京群島商 Efficient Logistics Limited	4	35
2416	Moker Corp.	4	11
2417	英屬開曼群島商 KingTiger Memory Solution Inc.	4	38
2418	瑞士商億貝國際公司 (eBay International AG)	4	33
2419	英屬維京群島商 ACADEMY UNIVERSAL CO., LTD	4	34
2420	英屬蓋曼群島商CONCRAFT  HOLDING  CO.,LTD	4	33
2421	法商 Sanofi-aventis Participations	4	32
2422	香港商德莎遠東有限公司	4	11
2423	美商力可公司	4	6
2424	德商 Jade 1343, GmbH & Co. Zweite Verwaltungs KG	4	46
2425	英屬維京群島商VIVAINTERNATIONALINVESTMENTCO., LTD.	4	43
2426	SINOCA INTERNATIONAL CO., LTD	4	29
2427	薩摩亞 EVER SOLUTION LIMITED	4	25
2428	荷蘭商 SYMBIO HOLDING B.V.	4	23
2429	英屬蓋曼群島商 ScienBiziP Consulting Inc.	4	34
2430	新加坡商 Visa Worldwide Pte. Limited	4	32
2431	Opko Health Inc.	4	16
2432	日商　　　　　　株式會社 (日商 AIMEDIA CO., LTD.)	4	35
2433	新加坡商逸科亞股份有限公司（EQUVO Pte. Ltd. ）	4	31
2434	日商Suntory  Spirits  Limited	4	27
2435	德商 Oerlikon Leybold Vacuum GmbH	4	31
2436	MEREGAN PUBLISHING INC.	4	23
2437	薩摩亞商勝新投資有限公司 WIN NEW INVESTMENTS LIMITED	4	40
2438	Magicapital Group Limited 薩摩亞商美智資本集團有限公司	4	40
2439	日商 FACTORY GEAR CO., LTD.（株式会社エス・ジー・アール）	4	40
2440	德商 wpd taiwan holding GmbH	4	26
2441	日商株式會社東京精密	4	10
2442	美商奧羅瑞科技公司	4	9
2443	日商豐興工業株式會社	4	10
2444	日商 AJINOMOTO CO., INC.	4	22
2445	日商AIKEI株式會社	4	11
2446	薩摩亞商 SUCCESS  MARINE  LIMITED	4	29
2447	薩摩亞商 CMS 智能科技股份有限公司(CMS Intelligent Technology Co., Ltd.)	4	57
2448	英屬維京群島商 UbezTT International Investment Holdings (BVI) Ltd.	4	59
2449	英屬維京群島商 Bayshore Pacific Hospitality Limited	4	44
2450	薩摩亞商TOP POWER INVESTMENTS LIMITED項力投資有限公司	4	41
2451	英屬維京島商WINDOWS INTERNATIONAL LINITED	4	35
2452	新加坡商 Ricoh Asia Pacific Pte Ltd.	4	32
2453	薩摩亞商WEMO CORP.	4	14
2454	Phisontech Electronics（Malaysia）	4	32
2455	IMS HEALTH INC. 美商健康醫藥服務股份有限公司	4	30
2456	英屬蓋曼群島商 PLURK LIMITED	4	21
2457	薩摩亞商 RAPOZA HOLDINGS LIMITED	4	28
2458	薩摩亞商 YUAN FU TAIWAN HOLDING LIMITED	4	35
2459	薩摩亞商East Gain Investment	4	24
2460	荷蘭商 CTS Overseas Holdings B.V.	4	30
2461	英屬維京群島商ELICENSING INTERNATIOLAL LIMITED	4	39
2462	德商美惠風場兩合有限公司(Meihui Windpark GmbH  & Co. KG)	4	44
2463	Fiege Far East Holding Limited	4	30
2464	英屬開曼群島商Yintacom International Inc.	4	34
2465	CKD株式会社(CKD Corporation)	4	24
2466	英屬維京群島商 MAXWISE HOLDINGS LIMITED	4	32
2467	SPEEDFAM CO., LTD	4	17
2468	P-Harmony Monitors Company Limited	4	34
2469	美商無晶圓半導體公司	4	10
2470	日商Growing Co.,  Ltd.	4	20
2471	河淳株式会社	4	6
2472	英商集保股份有限公司	4	10
2473	日商 FREAKOUT, INC.	4	17
2474	馬來西亞商 MACRO KIOSK BERHAD	4	24
2475	英屬維京群島商奇頓顧問股份有限公司	4	17
2476	薩摩亞商 FAITH LUCK INTERNATIONAL LTD.	4	34
2477	英商Lothian Electric Machines Limited	4	35
2478	英屬維京群島商麗綺控股投資公司	4	15
2479	英屬維京群島商 Neutron Innovation (BVI) Limited	4	40
2480	芬蘭商 Salcomp Plc.	4	16
2481	香港商日昇物流有限公司	4	11
2482	英屬維京群島商 TUNGSTEN INVESTMENTS LIMITED	4	36
2483	丹麥商 HEMPEL A/S	4	14
2484	Twist Beauty Packaging Holding Hong Kong Limited	4	48
2485	荷蘭商 MeadWestvaco Netherlands B.V.	4	33
2486	佛所護念会教団	4	7
2487	英商 Arris Solutions UK Ltd.	4	26
2488	薩摩亞商冠誠投資控股有限公司Kuan Chang Investment Holding Co., Ltd.	4	53
2489	日商 IFR CO., LTD.	4	16
2490	馬來西亞商德一實業股份有限公司	4	15
2491	ATOP Group Inc	4	14
2492	日商株式會社東精ェンジニァリング（TOSEI ENGINEERING CORP）	4	40
2493	英屬維京群島商 MAX KEY INVESTMENTS LIMITED	4	35
2494	賽席爾商King Vision International Co. Ltd.	4	38
2495	Crane Worldwide Group Co■peratief U.A.	4	38
2496	日商愛麗絲株式會社	4	9
2497	日商NHN comico 株式會社	4	17
2498	英屬開曼群島商 GigaMedia  (Cayman)  Limited	4	36
2499	聚利順投資（香港）有限公司	4	13
2500	KINGI OY	4	8
2501	貝里斯商 CYBER WOOD INTERNATIONAL LIMITED.	4	38
2502	美商北美波伊吉斯股份有限公司(Voyages North America, Inc)	4	42
2503	日商 DAIKURE CO., LTD.	4	20
2504	荷蘭商派瑞修國際控股股份有限公司	4	16
2505	香港商柏克科技有限公司Bai Ke Technology Limited	4	36
2506	德商(Sieb&Meyer AG)	4	17
2507	日商創造餐飲控股股份有限公司	4	14
2508	日商株式會社歌行燈	4	9
2509	ALPHA MERITS LIMITED	4	20
2510	香港商 Alltrade asia holding limited	4	33
2511	日商NTN株式會社	4	9
2512	日商 METAL ONE CORPORATION	4	24
2513	英屬維京群島商 FAITHFUL DESIRE LIMITED	4	31
2514	日商尼魯股份有限公司	4	10
2515	香港商 ASMO  CATERING  (HK)  CO.,  LIMITED	4	39
2516	日商寶貝蒙株式會社	4	9
2517	日商 PROTO CORPORATION	4	20
2518	日商 Hamee Corp.	4	14
2519	J-STYLE 株式會社	4	12
2520	英屬維京群島商泰統國際股份有限公司	4	17
2521	日商株式會社 KODAWARIYA	4	17
2522	新加坡商 Hexagon Metrology Asia Pacific Pte.,Ltd.	4	45
2523	英屬蓋曼群島商 Transpacific IP Group Limited	4	37
2524	日商日本化藥株式會社	4	10
2525	美商 Bruker Daltonics Inc.	4	24
2526	盧森堡商 VF Sourcing Asia S.a.r.l.	4	30
2527	日商雷克思科技股份有限公司	4	13
2528	美商Boxlight Corporation	4	22
2529	英屬維京群島商大業控股有限公司	4	15
2530	日商日立造船株式會社	4	10
2531	薩摩亞商祥發投資有限公司	4	12
2532	香港商中纖亞洲公司	4	9
2533	荷蘭商凱絡有限公司【Group Carat（Nederland）B.V.】	4	37
2534	日商旭日馬電研株式会社	4	11
2535	美商Rhythm and Hues, Inc.	4	23
2536	英屬維京群島商 CommVerge Solutions Group Limited	4	41
2537	吉翁科技(香港)有限公司 ZIONCOM (HONG KONG) TECHNOLOGY LIMITED	4	51
2538	薩摩亞商 WEST  SKY  HOLDINGS  INC.	4	30
2539	香港商全球匯通有限公司	4	11
2540	英屬維京群島商JUSTIN 投資管理有限公司	4	22
2541	英屬維京群島商聖亮紀元有限公司	4	15
2542	新加坡商 Zebra Technologies Asia Pacific Pte. Ltd.	4	46
2543	美商印特佳投資公司 (M&S Computing Investments Inc.)	4	42
2544	日商日本油泵	4	6
2545	克模塑膠（香港）有限公司	4	12
2546	法商家樂福公司	4	7
2547	美商佩雷帝股份有限公司 (Palladium Energy Group, Inc)	4	41
2548	英商ALL SAINTS RETAIL LIMITED	4	27
2549	W.I.T.JAPAN CO.,LTD.	4	20
2550	荷蘭商 Optiver Asia Trading B.V.	4	29
2551	（日商）三和實業株式會社	4	12
2552	英屬蓋曼群島商 JOURDENESS GROUP LIMITED	4	32
2553	香港合協有限公司	4	8
2554	英屬維京群島商力廣亞洲集團有限公司 POWER WIDE ASIA GROUP INC.,	4	45
2555	美商Axcelis Technologies, Inc	4	27
2556	塞席爾商 ALL PERFECT  CORP.	4	23
2557	馬來西亞商百利金國際股份有限公司	4	16
2558	日商福助機工株式會社	4	10
2559	英屬維京群島商 WIN STAR RESOURCES LIMITED	4	34
2560	英屬維京群島商萬保剛國際有限公司	4	16
2561	英屬維京群島商雅文國際股份有限公司	4	17
2562	CENTURY PLUS LIMITED	4	20
2563	澳大利亞商 Orica Investments Pty Ltd	4	31
2564	梓官區漁會	4	5
2565	英屬維京群島商 NEW SILICON HOLDINGS LIMITED	4	36
2566	日商 HOYU CO., LTD.	4	17
2567	英屬維京群島商互聯通有限公司 Chinalink Networks Limited	4	41
2568	美商 DHR Taiwan LLC	4	17
2569	薩摩亞商 MGI Excellence & Co., Ltd.	4	31
2570	丹麥商 NOISE LIMIT Aps	4	19
2571	日商PBI ADVANCED MATERIALS CO., LTD	4	33
2572	美商科立爾股份有限公司	4	11
2573	日商小野藥品工業株式會社	4	12
2574	賽席爾商斯瑪渥環球有限公司	4	13
2575	英商 Groz-Beckert UK Ltd.	4	23
2576	SONTA VENTURE L.L.C.	4	20
2577	3i Agritech Holdings, Limited 香港商台灣三愛農業科技控股有限公司	4	47
2578	VIVACITAS  INVESTMENT  LTD	4	26
2579	SINO PROFIT GROUP LIMITED	4	25
2580	日商RASA工業株式會社	4	12
2581	荷蘭商 JT International Holding BV	4	31
2582	薩摩亞商雷迪國際集團有限公司	4	14
2583	薩摩亞商ELITE GLORY GROUP LIMITED	4	29
2584	瑞士商寶帝公司 Burkert-Contromatic AG International	4	44
2585	Invensense,International  Inc.	4	30
2586	荷蘭商PX Capital Partners B.V.	4	27
2587	德商飛時控股公司	4	8
2588	英屬維京群島商 ZENITH SUN GROUP LIMITED	4	32
2589	英屬維京群島商弘新股份有限公司	4	15
2590	法商 Worldline S.A.	4	17
2591	英屬蓋曼群島商新密(開曼)工業有限公司	4	19
2592	日商株式会社 KINGS KNOW	4	17
2593	日商株式會社　　　　(PATLITE CORPORATION)	4	31
2594	香港商南星顏料有限公司	4	11
2595	日商 STRIPE INTERNATIONAL INC.(株式会社　　　　　　 )	4	41
2596	德商 Pfeiffer Vacuum GmbH	4	23
2597	Metroplex Ventures Ltd. 英屬維京群島商富捷投資有限公司	4	39
2598	塞席爾商 Zuvio Co., Ltd.	4	20
2599	英屬維京群島商詩普英美有限公司	4	15
2600	塞席爾商 LILYTUNES CO. , LTD	4	24
2601	美商 IVEDA SOLUTIONS,INC.	4	23
2602	美商黑盒股份有限公司	4	10
2603	英屬開曼群島商 XGENE PHARMACEUTICAL INC.	4	33
2604	薩摩亞商悅誌投資有限公司 Happy Mark Investments Limited	4	43
2605	日商旭化成　　　　　　　　株式會社 ( Asahi Kasei E-materials Corporation)	4	56
2606	英屬安吉拉商 ITS Holding, Lte.	4	24
2607	日商株式會社泰運商會	4	10
2608	英屬開曼群島商 Strait  Capital  Investment  Group	4	42
2609	荷蘭商牛尾國際私人有限公司	4	13
2610	日商三菱電機物流株式會社	4	12
2611	香港商CYJ INTERNATIONAL COMPANY LIMITED	4	36
2612	日商株式會社一如社	4	9
2613	日商株式會社MTG	4	9
2614	Hyve Solutions Corporation	4	26
2615	美商保德信國際人壽控股公司	4	13
2616	美國哈柏公司	4	6
2617	香港商 ADASTRIA ASIA CO., LIMITED	4	30
2618	香港商愛克發(香港)有限公司	4	14
2619	新加坡商虎豹醫藥保健(股)公司	4	15
2620	美商 JESSYFRUP INC	4	16
2621	荷蘭商國際金屬加工公司（IMC INTERNATIIONAL METALWORKING COMPANIES B.V.）	4	59
2622	NWL Netherlands B.V.	4	20
2623	賽席爾商 BEAR MEDIA LIMITED	4	23
2624	中央發條株式會社	4	8
2625	日商株式會社艾克賽爾	4	10
2626	美商 VWEB CORPORATION	4	19
2627	日商株式會社コシダテツク　(日商 KOSHIDA CORPORATION)	4	37
2628	COSCO ASIA PACIFIC INVESTMENT	4	29
2629	日商網軟K.K.股份有限公司	4	14
2630	香港商 SCS Global Consulting (HK) Limited	4	38
2631	薩摩亞商 GREATROLE INVESTMENT	4	25
2632	薩摩亞商 COLOUR BLISS INVESTMENT LIMITED	4	36
2633	德商 CHEMITRA GESELLSCHAFT MIT BESCHRANKTER HAFTUNG	4	49
2634	日商株式會社 FGH	4	10
2635	貝里斯商 Rapidtek Magnetic Devices Inc.	4	35
2636	美商eSilicon Corporation	4	22
2637	日商株式會社滿點	4	8
2638	香港商UPS SCS HOLDING LIMITED	4	26
2639	新加坡商新加坡塔式吊車股份有限公司CRANE WORLD ASIA PTE. LTD.	4	43
2640	塞席爾商TravelWoo Co., Ltd.	4	23
2641	美商Mega Fluid Systems, Inc.	4	26
2642	大陸商歌崧光學精密工業有限公司	4	15
2643	英屬維京群島商駿旺科技股份有限公司	4	17
2644	英屬維京群島商GSI Technonlogy (BVI),iNC.	4	33
2645	圓台投資有限公司	4	8
2646	荷蘭商 PUBLICIS GROUPE HOLDINGS B.V.	4	33
2647	美商 Dionex Corporation	4	21
